"entityKey","metricKey","value","fiscalYear","fiscalPeriod","periodClass","periodEnd"
"entity:company:palantir","company_wide_capex_intensity","0.007571","2025","FY","annual","2025-12-31"
"entity:company:salesforce","company_wide_capex_intensity","0.033409","2021","FY","annual","2021-01-31"
"entity:company:salesforce","company_wide_capex_intensity","0.027065","2022","FY","annual","2022-01-31"
"entity:company:salesforce","company_wide_capex_intensity","0.025453","2023","FY","annual","2023-01-31"
"entity:company:salesforce","company_wide_capex_intensity","0.021115","2024","FY","annual","2024-01-31"
"entity:company:salesforce","company_wide_capex_intensity","0.014305","2025","FY","annual","2026-01-31"
"entity:company:servicenow","company_wide_capex_intensity","0.066486","2021","FY","annual","2021-12-31"
"entity:company:servicenow","company_wide_capex_intensity","0.075914","2022","FY","annual","2022-12-31"
"entity:company:servicenow","company_wide_capex_intensity","0.077360","2023","FY","annual","2023-12-31"
"entity:company:servicenow","company_wide_capex_intensity","0.077567","2024","FY","annual","2024-12-31"
"entity:company:servicenow","company_wide_capex_intensity","0.065371","2025","FY","annual","2025-12-31"
"entity:company:snowflake","company_wide_capex_intensity","0.013303","2022","FY","annual","2022-01-31"
"entity:company:snowflake","company_wide_capex_intensity","0.012165","2023","FY","annual","2023-01-31"
"entity:company:snowflake","company_wide_capex_intensity","0.012502","2024","FY","annual","2024-01-31"
"entity:company:snowflake","company_wide_capex_intensity","0.012762","2025","FY","annual","2025-01-31"
"entity:company:snowflake","company_wide_capex_intensity","0.021697","2026","FY","annual","2026-01-31"
