entityKey,displayName,metricKey,value,unit,currency,periodClass,fiscalYear,fiscalPeriod,periodEnd,trustState,comparability,observationId
set1,human_verified / official_sec_structured_metadata_only,trust_evidence_count,4,observations,,not_applicable,,,,human_verified,evidence_summary,trust-evidence:796959231108190c
set1,source_attributed_unverified / official_sec_structured_metadata_only,trust_evidence_count,1,observations,,not_applicable,,,,source_attributed_unverified,evidence_summary,trust-evidence:02d7e68aabc139ef
set1,system_validated / official_sec_structured_metadata_only,trust_evidence_count,179,observations,,not_applicable,,,,system_validated,evidence_summary,trust-evidence:d7d7b388d328f472
