"stableRecordId","recordVersion","entity","metric","value","unit","period","trustState","reviewRequired","verificationMethod","conflictStatus","amendmentStatus","restatementStatus","disclosure","visibilityEligible","verifiedLaneEligible","headlineEligible","publicationExecutionEligible","coverageStatus","sampleData","releaseId","contractVersion"
"baseline-record:alphabet:revenue:fy2025","baseline-record:alphabet:revenue:fy2025:v1","{""displayName"":""Alphabet"",""entityKey"":""entity:company:alphabet""}","{""displayLabel"":""Revenue"",""metricFamily"":""revenue"",""metricKey"":""metric:revenue""}","350018000000","USD","period:fy2025","human_verified","false","human_reviewed","none","original","not_restated","{""code"":""human_verified_disclosure"",""label"":""Human verified against official SEC structured source metadata.""}","true","true","true","false","covered","false","dataset-release:1:5424bda5073c2a1a09cb","public-record@34.0.0"
"baseline-record:amazon:revenue:fy2025","baseline-record:amazon:revenue:fy2025:v1","{""displayName"":""Amazon"",""entityKey"":""entity:company:amazon""}","{""displayLabel"":""Revenue"",""metricFamily"":""revenue"",""metricKey"":""metric:revenue""}","637959000000","USD","period:fy2025","source_attributed_unverified","true","source_attribution_pending_review","unresolved_conflict","original","not_restated","{""code"":""conflict_disclosure"",""label"":""Source-attributed value has an unresolved review conflict and is excluded from headline totals.""}","true","false","false","false","pending_review","false","dataset-release:1:5424bda5073c2a1a09cb","public-record@34.0.0"
"baseline-record:meta:revenue:fy2025","baseline-record:meta:revenue:fy2025:v1","{""displayName"":""Meta Platforms"",""entityKey"":""entity:company:meta""}","{""displayLabel"":""Revenue"",""metricFamily"":""revenue"",""metricKey"":""metric:revenue""}","164501000000","USD","period:fy2025","human_verified","false","human_reviewed","none","original","not_restated","{""code"":""human_verified_disclosure"",""label"":""Human verified against official SEC structured source metadata.""}","true","true","true","false","covered","false","dataset-release:1:5424bda5073c2a1a09cb","public-record@34.0.0"
"baseline-record:microsoft:capex:fy2025","baseline-record:microsoft:capex:fy2025:v1","{""displayName"":""Microsoft"",""entityKey"":""entity:company:microsoft""}","{""displayLabel"":""Capital expenditure"",""metricFamily"":""capital_expenditure"",""metricKey"":""metric:capital_expenditure""}","34921000000","USD","period:fy2025","human_verified","false","human_reviewed","none","original","not_restated","{""code"":""human_verified_disclosure"",""label"":""Human verified against official SEC structured source metadata.""}","true","true","true","false","covered","false","dataset-release:1:5424bda5073c2a1a09cb","public-record@34.0.0"
"baseline-record:microsoft:revenue:fy2025","baseline-record:microsoft:revenue:fy2025:v1","{""displayName"":""Microsoft"",""entityKey"":""entity:company:microsoft""}","{""displayLabel"":""Revenue"",""metricFamily"":""revenue"",""metricKey"":""metric:revenue""}","281724000000","USD","period:fy2025","human_verified","false","human_reviewed","none","restated_current","10-K/A current value supersedes prior 10-K source fact","{""code"":""human_verified_disclosure"",""label"":""Human verified against official SEC structured source metadata.""}","true","true","true","false","covered","false","dataset-release:1:5424bda5073c2a1a09cb","public-record@34.0.0"
"baseline-record:nvidia:revenue:fy2026","baseline-record:nvidia:revenue:fy2026:v1","{""displayName"":""NVIDIA"",""entityKey"":""entity:company:nvidia""}","{""displayLabel"":""Revenue"",""metricFamily"":""revenue"",""metricKey"":""metric:revenue""}","130497000000","USD","period:fy2026","source_attributed_unverified","true","source_attribution_pending_review","none","original","not_restated","{""code"":""source_attributed_unverified_disclosure"",""label"":""Source-attributed value that has not yet completed human review.""}","true","false","false","false","pending_review","false","dataset-release:1:5424bda5073c2a1a09cb","public-record@34.0.0"
